path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk738ps__abc0__pd500__rla035__path0001,sa13_sr[7]$_DFF_P_/Q,sa03_sr[6]$_DFF_P_/D,clk,9.498e-10,8.908e-10,-5.901e-11,1
aes__clk738ps__abc0__pd500__rla035__path0002,sa23_sr[7]$_DFF_P_/Q,sa21_sr[0]$_DFF_P_/D,clk,9.516e-10,8.935e-10,-5.811e-11,2
aes__clk738ps__abc0__pd500__rla035__path0003,sa13_sr[7]$_DFF_P_/Q,sa03_sr[5]$_DFF_P_/D,clk,9.459e-10,8.878e-10,-5.805e-11,3
aes__clk738ps__abc0__pd500__rla035__path0004,sa21_sr[5]$_DFF_P_/Q,sa23_sr[5]$_DFF_P_/D,clk,9.377e-10,8.825e-10,-5.524e-11,4
aes__clk738ps__abc0__pd500__rla035__path0005,sa23_sr[7]$_DFF_P_/Q,sa21_sr[7]$_DFF_P_/D,clk,9.496e-10,8.972e-10,-5.233e-11,5
aes__clk738ps__abc0__pd500__rla035__path0006,sa13_sr[7]$_DFF_P_/Q,sa03_sr[3]$_DFF_P_/D,clk,9.419e-10,8.897e-10,-5.213e-11,6
aes__clk738ps__abc0__pd500__rla035__path0007,sa03_sr[7]$_DFF_P_/Q,sa12_sr[2]$_DFF_P_/D,clk,9.571e-10,9.058e-10,-5.125e-11,7
aes__clk738ps__abc0__pd500__rla035__path0008,sa13_sr[7]$_DFF_P_/Q,sa03_sr[0]$_DFF_P_/D,clk,9.378e-10,8.869e-10,-5.093e-11,8
aes__clk738ps__abc0__pd500__rla035__path0009,sa02_sr[7]$_DFF_P_/Q,sa02_sr[7]$_DFF_P_/D,clk,9.438e-10,8.932e-10,-5.065e-11,9
aes__clk738ps__abc0__pd500__rla035__path0010,sa13_sr[3]$_DFF_P_/Q,sa21_sr[2]$_DFF_P_/D,clk,9.511e-10,9.017e-10,-4.933e-11,10
aes__clk738ps__abc0__pd500__rla035__path0011,sa12_sr[3]$_DFF_P_/Q,sa33_sr[3]$_DFF_P_/D,clk,9.325e-10,8.849e-10,-4.757e-11,11
aes__clk738ps__abc0__pd500__rla035__path0012,sa13_sr[3]$_DFF_P_/Q,sa21_sr[6]$_DFF_P_/D,clk,9.533e-10,9.069e-10,-4.645e-11,12
aes__clk738ps__abc0__pd500__rla035__path0013,sa13_sr[7]$_DFF_P_/Q,sa03_sr[1]$_DFF_P_/D,clk,9.373e-10,8.909e-10,-4.633e-11,13
aes__clk738ps__abc0__pd500__rla035__path0014,sa13_sr[3]$_DFF_P_/Q,sa21_sr[1]$_DFF_P_/D,clk,9.386e-10,8.931e-10,-4.548e-11,14
aes__clk738ps__abc0__pd500__rla035__path0015,sa12_sr[3]$_DFF_P_/Q,sa33_sr[4]$_DFF_P_/D,clk,9.329e-10,8.902e-10,-4.275e-11,15
aes__clk738ps__abc0__pd500__rla035__path0016,sa13_sr[7]$_DFF_P_/Q,sa03_sr[7]$_DFF_P_/D,clk,9.374e-10,8.963e-10,-4.103e-11,16
aes__clk738ps__abc0__pd500__rla035__path0017,sa13_sr[7]$_DFF_P_/Q,sa03_sr[4]$_DFF_P_/D,clk,9.271e-10,8.874e-10,-3.974e-11,17
aes__clk738ps__abc0__pd500__rla035__path0018,sa12_sr[3]$_DFF_P_/Q,sa02_sr[1]$_DFF_P_/D,clk,9.293e-10,8.905e-10,-3.876e-11,18
aes__clk738ps__abc0__pd500__rla035__path0019,sa13_sr[7]$_DFF_P_/Q,sa03_sr[2]$_DFF_P_/D,clk,9.308e-10,8.922e-10,-3.859e-11,19
aes__clk738ps__abc0__pd500__rla035__path0020,sa13_sr[3]$_DFF_P_/Q,sa30_sr[5]$_DFF_P_/D,clk,9.321e-10,8.946e-10,-3.751e-11,20
aes__clk738ps__abc0__pd500__rla035__path0021,sa12_sr[3]$_DFF_P_/Q,sa02_sr[2]$_DFF_P_/D,clk,9.292e-10,8.922e-10,-3.7e-11,21
aes__clk738ps__abc0__pd500__rla035__path0022,sa13_sr[3]$_DFF_P_/Q,sa21_sr[5]$_DFF_P_/D,clk,9.292e-10,8.931e-10,-3.609e-11,22
aes__clk738ps__abc0__pd500__rla035__path0023,sa21_sr[7]$_DFF_P_/Q,sa23_sr[2]$_DFF_P_/D,clk,9.28e-10,8.922e-10,-3.573e-11,23
aes__clk738ps__abc0__pd500__rla035__path0024,sa30_sr[1]$_DFF_P_/Q,sa00_sr[5]$_DFF_P_/D,clk,9.34e-10,8.984e-10,-3.562e-11,24
aes__clk738ps__abc0__pd500__rla035__path0025,sa13_sr[3]$_DFF_P_/Q,sa30_sr[3]$_DFF_P_/D,clk,9.234e-10,8.883e-10,-3.505e-11,25
aes__clk738ps__abc0__pd500__rla035__path0026,sa32_sr[1]$_DFF_P_/Q,sa33_sr[1]$_DFF_P_/D,clk,9.248e-10,8.9e-10,-3.475e-11,26
aes__clk738ps__abc0__pd500__rla035__path0027,sa21_sr[7]$_DFF_P_/Q,sa23_sr[1]$_DFF_P_/D,clk,9.219e-10,8.879e-10,-3.4e-11,27
aes__clk738ps__abc0__pd500__rla035__path0028,sa32_sr[1]$_DFF_P_/Q,sa33_sr[7]$_DFF_P_/D,clk,9.199e-10,8.864e-10,-3.358e-11,28
aes__clk738ps__abc0__pd500__rla035__path0029,sa12_sr[3]$_DFF_P_/Q,sa02_sr[4]$_DFF_P_/D,clk,9.295e-10,8.964e-10,-3.307e-11,29
aes__clk738ps__abc0__pd500__rla035__path0030,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[2]$_DFF_P_/D,clk,9.182e-10,8.855e-10,-3.269e-11,30
aes__clk738ps__abc0__pd500__rla035__path0031,sa13_sr[3]$_DFF_P_/Q,sa21_sr[3]$_DFF_P_/D,clk,9.338e-10,9.014e-10,-3.237e-11,31
aes__clk738ps__abc0__pd500__rla035__path0032,sa30_sr[1]$_DFF_P_/Q,sa00_sr[7]$_DFF_P_/D,clk,9.24e-10,8.917e-10,-3.234e-11,32
aes__clk738ps__abc0__pd500__rla035__path0033,sa21_sr[7]$_DFF_P_/Q,sa23_sr[0]$_DFF_P_/D,clk,9.152e-10,8.834e-10,-3.185e-11,33
aes__clk738ps__abc0__pd500__rla035__path0034,sa21_sr[7]$_DFF_P_/Q,sa23_sr[4]$_DFF_P_/D,clk,9.188e-10,8.876e-10,-3.119e-11,34
aes__clk738ps__abc0__pd500__rla035__path0035,sa01_sr[3]$_DFF_P_/Q,sa32_sr[6]$_DFF_P_/D,clk,9.353e-10,9.047e-10,-3.063e-11,35
aes__clk738ps__abc0__pd500__rla035__path0036,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[4]$_DFF_P_/D,clk,9.151e-10,8.853e-10,-2.983e-11,36
aes__clk738ps__abc0__pd500__rla035__path0037,sa21_sr[4]$_DFF_P_/Q,sa01_sr[1]$_DFF_P_/D,clk,9.225e-10,8.927e-10,-2.982e-11,37
aes__clk738ps__abc0__pd500__rla035__path0038,sa21_sr[7]$_DFF_P_/Q,sa23_sr[3]$_DFF_P_/D,clk,9.179e-10,8.882e-10,-2.972e-11,38
aes__clk738ps__abc0__pd500__rla035__path0039,sa30_sr[1]$_DFF_P_/Q,sa13_sr[4]$_DFF_P_/D,clk,9.225e-10,8.929e-10,-2.955e-11,39
