path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk820ps__abc0__pd500__rlabase__path0001,sa23_sr[0]$_DFF_P_/Q,sa21_sr[7]$_DFF_P_/D,clk,9.841e-10,9.671e-10,-1.705e-11,1
aes__clk820ps__abc0__pd500__rlabase__path0002,sa21_sr[3]$_DFF_P_/Q,sa32_sr[7]$_DFF_P_/D,clk,9.707e-10,9.635e-10,-7.172e-12,2
aes__clk820ps__abc0__pd500__rlabase__path0003,sa23_sr[0]$_DFF_P_/Q,sa21_sr[1]$_DFF_P_/D,clk,9.737e-10,9.686e-10,-5.083e-12,3
aes__clk820ps__abc0__pd500__rlabase__path0004,sa12_sr[2]$_DFF_P_/Q,sa11_sr[6]$_DFF_P_/D,clk,9.729e-10,9.718e-10,-1.1e-12,4
aes__clk820ps__abc0__pd500__rlabase__path0005,sa20_sr[7]$_DFF_P_/Q,sa13_sr[7]$_DFF_P_/D,clk,9.779e-10,9.777e-10,-2.87e-13,5
aes__clk820ps__abc0__pd500__rlabase__path0006,sa12_sr[3]$_DFF_P_/Q,sa02_sr[4]$_DFF_P_/D,clk,9.657e-10,9.665e-10,7.827e-13,6
aes__clk820ps__abc0__pd500__rlabase__path0007,sa12_sr[3]$_DFF_P_/Q,sa02_sr[1]$_DFF_P_/D,clk,9.628e-10,9.645e-10,1.718e-12,7
aes__clk820ps__abc0__pd500__rlabase__path0008,sa03_sr[7]$_DFF_P_/Q,sa30_sr[3]$_DFF_P_/D,clk,9.6e-10,9.621e-10,2.082e-12,8
aes__clk820ps__abc0__pd500__rlabase__path0009,sa12_sr[3]$_DFF_P_/Q,sa02_sr[7]$_DFF_P_/D,clk,9.612e-10,9.638e-10,2.565e-12,9
aes__clk820ps__abc0__pd500__rlabase__path0010,sa00_sr[2]$_DFF_P_/Q,sa31_sr[2]$_DFF_P_/D,clk,9.78e-10,9.809e-10,2.895e-12,10
aes__clk820ps__abc0__pd500__rlabase__path0011,sa13_sr[2]$_DFF_P_/Q,sa12_sr[7]$_DFF_P_/D,clk,9.676e-10,9.708e-10,3.202e-12,11
aes__clk820ps__abc0__pd500__rlabase__path0012,sa21_sr[4]$_DFF_P_/Q,sa01_sr[6]$_DFF_P_/D,clk,9.705e-10,9.742e-10,3.721e-12,12
aes__clk820ps__abc0__pd500__rlabase__path0013,sa12_sr[0]$_DFF_P_/Q,sa20_sr[1]$_DFF_P_/D,clk,9.696e-10,9.737e-10,4.052e-12,13
aes__clk820ps__abc0__pd500__rlabase__path0014,sa12_sr[2]$_DFF_P_/Q,sa11_sr[2]$_DFF_P_/D,clk,9.648e-10,9.704e-10,5.565e-12,14
aes__clk820ps__abc0__pd500__rlabase__path0015,ld_r$_DFF_P_/Q,sa31_sr[7]$_DFF_P_/D,clk,9.686e-10,9.746e-10,5.965e-12,15
aes__clk820ps__abc0__pd500__rlabase__path0016,sa12_sr[2]$_DFF_P_/Q,sa33_sr[3]$_DFF_P_/D,clk,9.665e-10,9.725e-10,5.974e-12,16
