node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.285261229724057e-10,3.3353234063504544e-10,1.2229042778422183e-10,1.0990561238877206e-10,4.508165507566275e-10,4.434379530238175e-10,3.3353234063504544e-10,1.0990561238877206e-10,4.434379530238175e-10,0,0
1,3.284762462030244e-10,3.3348507288977203e-10,1.2229042778422183e-10,1.0990561238877206e-10,4.5076667398724624e-10,4.433906852785441e-10,3.3348507288977203e-10,1.0990561238877206e-10,4.433906852785441e-10,0,0
2,4.3475417710325814e-10,3.5731623215795594e-10,1.974467811471925e-11,9.163575453996486e-11,4.544988552179774e-10,4.489519866979208e-10,4.3475417710325814e-10,1.974467811471925e-11,4.544988552179774e-10,0,0
3,4.347381621361279e-10,3.573012719026991e-10,1.974467811471925e-11,9.163575453996486e-11,4.544828402508472e-10,4.48937026442664e-10,4.347381621361279e-10,1.974467811471925e-11,4.544828402508472e-10,0,0
4,3.2298008711961756e-10,4.110077000962775e-10,1.289209017318882e-10,3.697636641319946e-11,4.5190098885150576e-10,4.47984066509477e-10,4.110077000962775e-10,3.697636641319946e-11,4.47984066509477e-10,0,0
5,3.2289679263719506e-10,4.109279028163826e-10,1.289209017318882e-10,3.697636641319946e-11,4.5181769436908326e-10,4.4790426922958204e-10,4.109279028163826e-10,3.697636641319946e-11,4.4790426922958204e-10,0,0
6,2.234685075874765e-10,1.9417562002743693e-10,1.0205557232634277e-10,1.3050771574540931e-10,3.2552407991381926e-10,3.2468333577284625e-10,2.234685075874765e-10,1.0205557232634277e-10,3.2552407991381926e-10,0,0
7,2.2352522610624703e-10,1.9422875807695306e-10,1.2887377276449286e-10,1.6235253419427664e-10,3.523989988707399e-10,3.565812922712297e-10,2.2352522610624703e-10,1.2887377276449286e-10,3.523989988707399e-10,0,0
8,2.2271631761050514e-10,1.9347841384576014e-10,1.0266659744573303e-10,1.444537683914504e-10,3.253829150562382e-10,3.3793218223721055e-10,2.2271631761050514e-10,1.0266659744573303e-10,3.253829150562382e-10,0,0
9,2.2291803125629173e-10,1.93668192594032e-10,1.1011143385974975e-10,1.4925941038690382e-10,3.330294651160415e-10,3.4292760298093583e-10,2.2291803125629173e-10,1.1011143385974975e-10,3.330294651160415e-10,0,0
10,2.2361523743796852e-10,1.9431151132565105e-10,1.275758387819792e-10,1.755542100578822e-10,3.511910762199477e-10,3.6986572138353324e-10,2.2361523743796852e-10,1.275758387819792e-10,3.511910762199477e-10,0,0
11,2.2329231519346848e-10,1.9401297235432935e-10,1.267651122960345e-10,1.4199166842310262e-10,3.5005742748950297e-10,3.3600464077743197e-10,2.2329231519346848e-10,1.267651122960345e-10,3.5005742748950297e-10,0,0
12,2.216437727797782e-10,1.9247914373465846e-10,8.826527009286878e-11,1.3229475848142158e-10,3.09909042872647e-10,3.2477390221608005e-10,2.216437727797782e-10,8.826527009286878e-11,3.09909042872647e-10,0,0
