path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd__clk414ps__abc0__pd500__rlabase__path0001,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[13],core_clock,6.951e-10,3.312e-10,-3.639e-10,1
gcd__clk414ps__abc0__pd500__rlabase__path0002,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[14]$_DFFE_PP_/D,core_clock,8.073e-10,4.474e-10,-3.6e-10,2
gcd__clk414ps__abc0__pd500__rlabase__path0003,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[0]$_DFFE_PP_/D,core_clock,8.067e-10,4.475e-10,-3.592e-10,3
gcd__clk414ps__abc0__pd500__rlabase__path0004,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[11]$_DFFE_PP_/D,core_clock,8.076e-10,4.486e-10,-3.59e-10,4
gcd__clk414ps__abc0__pd500__rlabase__path0005,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[12]$_DFFE_PP_/D,core_clock,8.061e-10,4.474e-10,-3.587e-10,5
gcd__clk414ps__abc0__pd500__rlabase__path0006,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[13]$_DFFE_PP_/D,core_clock,8.061e-10,4.475e-10,-3.586e-10,6
gcd__clk414ps__abc0__pd500__rlabase__path0007,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[15]$_DFFE_PP_/D,core_clock,8.057e-10,4.473e-10,-3.584e-10,7
gcd__clk414ps__abc0__pd500__rlabase__path0008,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[14],core_clock,6.89e-10,3.312e-10,-3.578e-10,8
gcd__clk414ps__abc0__pd500__rlabase__path0009,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[6]$_DFFE_PP_/D,core_clock,8.053e-10,4.475e-10,-3.577e-10,9
gcd__clk414ps__abc0__pd500__rlabase__path0010,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[7]$_DFFE_PP_/D,core_clock,8.051e-10,4.476e-10,-3.574e-10,10
gcd__clk414ps__abc0__pd500__rlabase__path0011,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[2]$_DFFE_PP_/D,core_clock,8.059e-10,4.489e-10,-3.571e-10,11
gcd__clk414ps__abc0__pd500__rlabase__path0012,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[10]$_DFFE_PP_/D,core_clock,8.059e-10,4.489e-10,-3.57e-10,12
gcd__clk414ps__abc0__pd500__rlabase__path0013,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[9]$_DFFE_PP_/D,core_clock,8.057e-10,4.488e-10,-3.569e-10,13
gcd__clk414ps__abc0__pd500__rlabase__path0014,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[8]$_DFFE_PP_/D,core_clock,8.056e-10,4.488e-10,-3.568e-10,14
gcd__clk414ps__abc0__pd500__rlabase__path0015,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[5]$_DFFE_PP_/D,core_clock,8.042e-10,4.474e-10,-3.568e-10,15
gcd__clk414ps__abc0__pd500__rlabase__path0016,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[3]$_DFFE_PP_/D,core_clock,8.055e-10,4.489e-10,-3.565e-10,16
gcd__clk414ps__abc0__pd500__rlabase__path0017,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[4]$_DFFE_PP_/D,core_clock,8.051e-10,4.488e-10,-3.563e-10,17
gcd__clk414ps__abc0__pd500__rlabase__path0018,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[1]$_DFFE_PP_/D,core_clock,8.047e-10,4.486e-10,-3.562e-10,18
gcd__clk414ps__abc0__pd500__rlabase__path0019,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[12],core_clock,6.845e-10,3.312e-10,-3.533e-10,19
gcd__clk414ps__abc0__pd500__rlabase__path0020,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[10]$_DFFE_PP_/D,core_clock,7.996e-10,4.483e-10,-3.513e-10,20
gcd__clk414ps__abc0__pd500__rlabase__path0021,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[12]$_DFFE_PP_/D,core_clock,7.866e-10,4.473e-10,-3.393e-10,21
gcd__clk414ps__abc0__pd500__rlabase__path0022,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[10],core_clock,6.699e-10,3.312e-10,-3.387e-10,22
gcd__clk414ps__abc0__pd500__rlabase__path0023,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[2]$_DFFE_PP_/D,core_clock,7.762e-10,4.431e-10,-3.331e-10,23
gcd__clk414ps__abc0__pd500__rlabase__path0024,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.a_reg.out[8]$_DFFE_PP_/D,core_clock,7.801e-10,4.483e-10,-3.318e-10,24
gcd__clk414ps__abc0__pd500__rlabase__path0025,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.a_reg.out[3]$_DFFE_PP_/D,core_clock,7.802e-10,4.487e-10,-3.314e-10,25
gcd__clk414ps__abc0__pd500__rlabase__path0026,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.a_reg.out[9]$_DFFE_PP_/D,core_clock,7.796e-10,4.484e-10,-3.312e-10,26
gcd__clk414ps__abc0__pd500__rlabase__path0027,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[5]$_DFFE_PP_/D,core_clock,7.722e-10,4.415e-10,-3.307e-10,27
gcd__clk414ps__abc0__pd500__rlabase__path0028,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[1]$_DFFE_PP_/D,core_clock,7.728e-10,4.429e-10,-3.299e-10,28
gcd__clk414ps__abc0__pd500__rlabase__path0029,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[15],core_clock,6.6e-10,3.312e-10,-3.288e-10,29
gcd__clk414ps__abc0__pd500__rlabase__path0030,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[11],core_clock,6.599e-10,3.312e-10,-3.287e-10,30
gcd__clk414ps__abc0__pd500__rlabase__path0031,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[4]$_DFFE_PP_/D,core_clock,7.713e-10,4.43e-10,-3.283e-10,31
gcd__clk414ps__abc0__pd500__rlabase__path0032,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[15]$_DFFE_PP_/D,core_clock,7.709e-10,4.486e-10,-3.223e-10,32
gcd__clk414ps__abc0__pd500__rlabase__path0033,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[14]$_DFFE_PP_/D,core_clock,7.679e-10,4.472e-10,-3.207e-10,33
gcd__clk414ps__abc0__pd500__rlabase__path0034,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[11]$_DFFE_PP_/D,core_clock,7.664e-10,4.477e-10,-3.187e-10,34
gcd__clk414ps__abc0__pd500__rlabase__path0035,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[13]$_DFFE_PP_/D,core_clock,7.651e-10,4.47e-10,-3.181e-10,35
gcd__clk414ps__abc0__pd500__rlabase__path0036,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[6]$_DFFE_PP_/D,core_clock,7.627e-10,4.461e-10,-3.167e-10,36
gcd__clk414ps__abc0__pd500__rlabase__path0037,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[7]$_DFFE_PP_/D,core_clock,7.619e-10,4.46e-10,-3.159e-10,37
gcd__clk414ps__abc0__pd500__rlabase__path0038,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[0]$_DFFE_PP_/D,core_clock,7.415e-10,4.48e-10,-2.936e-10,38
gcd__clk414ps__abc0__pd500__rlabase__path0039,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[7],core_clock,6.049e-10,3.312e-10,-2.737e-10,39
gcd__clk414ps__abc0__pd500__rlabase__path0040,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[9],core_clock,6.007e-10,3.312e-10,-2.695e-10,40
gcd__clk414ps__abc0__pd500__rlabase__path0041,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[6],core_clock,5.565e-10,3.312e-10,-2.253e-10,41
gcd__clk414ps__abc0__pd500__rlabase__path0042,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[8],core_clock,5.563e-10,3.312e-10,-2.251e-10,42
gcd__clk414ps__abc0__pd500__rlabase__path0043,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[3],core_clock,4.356e-10,3.312e-10,-1.044e-10,43
gcd__clk414ps__abc0__pd500__rlabase__path0044,dpath.b_reg.out[3]$_DFFE_PP_/Q,resp_msg[5],core_clock,4.34e-10,3.312e-10,-1.028e-10,44
gcd__clk414ps__abc0__pd500__rlabase__path0045,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[4],core_clock,4.068e-10,3.312e-10,-7.556e-11,45
gcd__clk414ps__abc0__pd500__rlabase__path0046,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[2],core_clock,3.914e-10,3.312e-10,-6.019e-11,46
gcd__clk414ps__abc0__pd500__rlabase__path0047,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[1],core_clock,3.263e-10,3.312e-10,4.924e-12,47
gcd__clk414ps__abc0__pd500__rlabase__path0048,dpath.b_reg.out[2]$_DFFE_PP_/Q,ctrl.state.out[1]$_DFF_P_/D,core_clock,4.348e-10,4.545e-10,1.974e-11,48
gcd__clk414ps__abc0__pd500__rlabase__path0049,ctrl.state.out[2]$_DFF_P_/Q,resp_val,core_clock,3.085e-10,3.312e-10,2.269e-11,49
