edge_id,src_node_id,dst_node_id,edge_type,net_name,net_sig_type,net_fanout,net_routed_length_um,net_cap_max_f,net_cap_min_f,net_wire_res_ohm_rcx,net_wire_cap_f_rcx,cell_arc_master,cell_arc_from_pin,cell_arc_to_pin
0,1,0,net,_000_,SIGNAL,1,7280.0,1.5803851791411274e-15,1.5024371839282872e-15,33.5,4.401e-16,,,
1,3,2,net,_001_,SIGNAL,1,1900.0,1.2086540764476186e-15,1.1307060812347784e-15,13.64,6.836e-17,,,
2,5,4,net,_002_,SIGNAL,1,13660.0,1.9938344544319234e-15,1.9158864592190832e-15,44.89,8.535e-16,,,
3,25,6,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
4,25,7,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
5,25,8,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
6,25,9,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
7,25,10,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
8,25,11,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
9,25,12,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
10,25,13,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
11,25,14,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
12,25,15,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
13,25,16,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
14,25,17,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
15,25,18,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
16,25,19,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
17,25,20,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
18,25,21,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
19,25,22,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
20,25,23,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
21,25,24,net,_003_,SIGNAL,19,168960.0,3.5598819492265246e-14,3.392776240073586e-14,577.2,9.996e-15,,,
22,27,26,net,_004_,SIGNAL,1,2060.0,1.2331816095012614e-15,1.1552336142884212e-15,14.18,9.289e-17,,,
23,29,28,net,_005_,SIGNAL,1,6560.0,1.4638529273567225e-15,1.3859049321438823e-15,22.46,3.236e-16,,,
24,31,30,net,_006_,SIGNAL,1,9180.0,1.4763328990433306e-15,1.398384797951372e-15,36.89,3.36e-16,,,
25,33,32,net,_007_,SIGNAL,1,2840.0,1.368875440618453e-15,1.2909274454056129e-15,25.57,2.286e-16,,,
26,35,34,net,_008_,SIGNAL,1,3100.0,1.2940866665406346e-15,1.2161386713277944e-15,26.04,1.538e-16,,,
27,37,36,net,_009_,SIGNAL,1,3220.0,1.2792846599082473e-15,1.2013366646954071e-15,16.25,1.39e-16,,,
28,39,38,net,_010_,SIGNAL,1,3480.0,1.2818903450122383e-15,1.2039423497993982e-15,16.96,1.416e-16,,,
29,41,40,net,_011_,SIGNAL,1,8500.0,1.5347217388337665e-15,1.4567737436209263e-15,25.68,3.944e-16,,,
30,43,42,net,_012_,SIGNAL,1,3480.0,1.362818413891756e-15,1.2848704186789158e-15,26.71,2.225e-16,,,
31,45,44,net,_013_,SIGNAL,1,2520.0,1.2504898807454558e-15,1.1725418855326156e-15,14.75,1.102e-16,,,
32,47,46,net,_014_,SIGNAL,1,1960.0,1.2437165817827367e-15,1.1657685865698966e-15,13.75,1.034e-16,,,
33,49,48,net,_015_,SIGNAL,1,3460.0,1.3295736412614455e-15,1.2516256460486054e-15,16.68,1.893e-16,,,
34,51,50,net,_016_,SIGNAL,1,2720.0,1.2696596127703599e-15,1.1917116175575197e-15,15.61,1.294e-16,,,
35,53,52,net,_017_,SIGNAL,1,6080.0,1.4091660450622615e-15,1.3312180498494214e-15,22.11,2.689e-16,,,
36,55,54,net,_018_,SIGNAL,1,5620.0,1.40159145293144e-15,1.3236434577185998e-15,30.54,2.613e-16,,,
37,57,56,net,_019_,SIGNAL,1,2240.0,1.2548372773472385e-15,1.1768892821343983e-15,14.25,1.145e-16,,,
38,59,58,net,_020_,SIGNAL,1,4620.0,1.3199570644530307e-15,1.2420090692401905e-15,19.0,1.797e-16,,,
39,61,60,net,_021_,SIGNAL,1,4620.0,1.3187946176120425e-15,1.2408466223992024e-15,28.75,1.785e-16,,,
40,63,62,net,_022_,SIGNAL,1,9300.0,1.6607128075401601e-15,1.58276481232732e-15,37.11,5.204e-16,,,
41,65,64,net,_023_,SIGNAL,1,1900.0,1.2120821246642752e-15,1.134134129451435e-15,23.64,7.179e-17,,,
42,67,66,net,_024_,SIGNAL,1,1900.0,1.2086540764476186e-15,1.1307060812347784e-15,13.64,6.836e-17,,,
43,69,68,net,_025_,SIGNAL,1,8140.0,1.5127170934135206e-15,1.4347690982006805e-15,35.04,3.724e-16,,,
44,71,70,net,_026_,SIGNAL,1,3960.0,1.3807475602862877e-15,1.3027995650734476e-15,27.57,2.405e-16,,,
45,73,72,net,_027_,SIGNAL,1,2340.0,1.2422248508835035e-15,1.1642768556706633e-15,14.68,1.019e-16,,,
46,75,74,net,_028_,SIGNAL,1,6280.0,1.4016969085333731e-15,1.323748913320533e-15,21.96,2.614e-16,,,
47,77,76,net,_029_,SIGNAL,1,3480.0,1.29206670471967e-15,1.2141187095068297e-15,26.71,1.518e-16,,,
48,79,78,net,_030_,SIGNAL,1,2720.0,1.2501188803145584e-15,1.1721708851017182e-15,15.36,1.098e-16,,,
49,81,80,net,_031_,SIGNAL,1,3100.0,1.2795499929789747e-15,1.2016019977661345e-15,16.04,1.393e-16,,,
50,83,82,net,_032_,SIGNAL,1,2440.0,1.2455233030592302e-15,1.16757530784639e-15,14.86,1.052e-16,,,
51,85,84,net,_033_,SIGNAL,1,3480.0,1.283192446410405e-15,1.2052444511975648e-15,16.96,1.429e-16,,,
