edge_id,src_node_id,dst_node_id,edge_type,net_name,net_sig_type,net_fanout,net_routed_length_um,net_cap_max_f,net_cap_min_f,net_wire_res_ohm_rcx,net_wire_cap_f_rcx,cell_arc_master,cell_arc_from_pin,cell_arc_to_pin
0,1,0,net,_000_,SIGNAL,1,4980.0,1.3679453984423678e-15,1.2948784305880806e-15,29.89,2.403e-16,,,
1,3,2,net,_001_,SIGNAL,1,8080.0,1.5578516675244397e-15,1.4799036723115995e-15,35.43,4.176e-16,,,
2,5,4,net,_002_,SIGNAL,1,2800.0,1.2453675548760538e-15,1.1674195596632136e-15,15.25,1.051e-16,,,
3,16,6,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
4,16,7,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
5,16,8,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
6,16,9,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
7,16,10,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
8,16,11,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
9,16,12,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
10,16,13,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
11,16,14,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
12,16,15,net,_003_,SIGNAL,10,126040.0,3.646859696821922e-14,3.455750768009691e-14,361.8,6.384e-15,,,
13,18,17,net,_004_,SIGNAL,1,1960.0,1.2411030616239836e-15,1.1631550664111434e-15,13.75,1.008e-16,,,
14,20,19,net,_005_,SIGNAL,1,9840.0,1.6607710410552839e-15,1.5828230458424437e-15,38.57,5.205e-16,,,
15,22,21,net,_006_,SIGNAL,1,5320.0,1.3493209438772587e-15,1.2713729486644185e-15,29.75,2.09e-16,,,
16,24,23,net,_007_,SIGNAL,1,5700.0,1.3937128818516725e-15,1.3157648866388323e-15,20.68,2.534e-16,,,
17,26,25,net,_008_,SIGNAL,1,8040.0,1.6015696849101943e-15,1.523621689697354e-15,35.86,4.613e-16,,,
18,28,27,net,_009_,SIGNAL,1,1960.0,1.2206529334201862e-15,1.142704938207346e-15,13.75,8.036e-17,,,
19,30,29,net,_010_,SIGNAL,1,2240.0,1.2392069783715549e-15,1.1612589831587147e-15,14.25,9.892e-17,,,
20,32,31,net,_011_,SIGNAL,1,8420.0,1.6312001679545706e-15,1.553252066862612e-15,35.54,4.909e-16,,,
21,34,33,net,_012_,SIGNAL,1,2060.0,1.2418404038045685e-15,1.1638924085917283e-15,14.18,1.016e-16,,,
22,36,35,net,_013_,SIGNAL,1,1960.0,1.2246126006903633e-15,1.146664605477523e-15,13.75,8.432e-17,,,
23,38,37,net,_014_,SIGNAL,1,1960.0,1.2202439223857808e-15,1.1422959271729406e-15,13.75,7.995e-17,,,
24,40,39,net,_015_,SIGNAL,1,1960.0,1.220243710627544e-15,1.1422957154147038e-15,13.75,7.995e-17,,,
25,42,41,net,_016_,SIGNAL,1,5100.0,1.3787893259913542e-15,1.300841330778514e-15,29.86,2.385e-16,,,
26,44,43,net,_017_,SIGNAL,1,3480.0,1.332138033509258e-15,1.2541900382964178e-15,26.96,1.918e-16,,,
27,46,45,net,_018_,SIGNAL,1,3380.0,1.2951913033829726e-15,1.2172433081701324e-15,17.04,1.549e-16,,,
28,48,47,net,_019_,SIGNAL,1,2720.0,1.2741068533808002e-15,1.19615885816796e-15,15.36,1.338e-16,,,
29,50,49,net,_020_,SIGNAL,1,2340.0,1.2471816876908357e-15,1.1692336924779955e-15,14.68,1.069e-16,,,
30,52,51,net,_021_,SIGNAL,1,5700.0,1.3951976247290909e-15,1.3172495236371323e-15,20.68,2.549e-16,,,
31,54,53,net,_022_,SIGNAL,1,3560.0,1.3158326492746127e-15,1.2378846540617725e-15,17.36,1.755e-16,,,
32,56,55,net,_023_,SIGNAL,1,3100.0,1.3018265359752892e-15,1.223878540762449e-15,16.04,1.615e-16,,,
33,58,57,net,_024_,SIGNAL,1,7540.0,1.5830502624305447e-15,1.5051022672177045e-15,33.96,4.428e-16,,,
34,60,59,net,_025_,SIGNAL,1,4620.0,1.3405131776543532e-15,1.262565182441513e-15,28.75,2.002e-16,,,
35,62,61,net,_026_,SIGNAL,1,4320.0,1.3949726316024764e-15,1.3170246363896363e-15,28.21,2.547e-16,,,
36,64,63,net,_027_,SIGNAL,1,1960.0,1.2418822260563392e-15,1.163934230843499e-15,13.75,1.016e-16,,,
37,66,65,net,_028_,SIGNAL,1,7940.0,1.5439999259797533e-15,1.466051930766913e-15,34.93,4.037e-16,,,
38,68,67,net,_029_,SIGNAL,1,9500.0,1.535319214698936e-15,1.4573712194860958e-15,37.21,3.95e-16,,,
39,70,69,net,_030_,SIGNAL,1,2840.0,1.2574299393196655e-15,1.1794819441068253e-15,15.57,1.171e-16,,,
40,72,71,net,_031_,SIGNAL,1,2800.0,1.2917537260456594e-15,1.2138057308328193e-15,15.25,1.515e-16,,,
41,74,73,net,_032_,SIGNAL,1,2800.0,1.2797175996234126e-15,1.2017696044105725e-15,15.25,1.394e-16,,,
42,76,75,net,_033_,SIGNAL,1,2340.0,1.2540717713211574e-15,1.1761237761083172e-15,14.68,1.138e-16,,,
43,78,77,net,_034_,SIGNAL,1,3480.0,1.2831547534442522e-15,1.205206758231412e-15,16.96,1.429e-16,,,
44,80,79,net,_035_,SIGNAL,1,4860.0,1.350996692684283e-15,1.2730486974714427e-15,19.18,2.107e-16,,,
45,83,81,net,_036_,SIGNAL,2,4520.0,3.461984379930067e-15,3.3638952117809404e-15,34.57,2.727e-16,,,
46,83,82,net,_036_,SIGNAL,2,4520.0,3.461984379930067e-15,3.3638952117809404e-15,34.57,2.727e-16,,,
47,85,84,net,req_msg[24],SIGNAL,1,3180.0,1.1170022528185063e-15,1.0175931955793208e-15,23.37,1.423e-16,,,
48,87,86,net,req_msg[23],SIGNAL,1,7880.0,1.2943358001062458e-15,1.1949267428670602e-15,31.77,3.197e-16,,,
49,89,88,net,req_msg[22],SIGNAL,1,4860.0,1.1663781326545644e-15,1.0669690754153789e-15,26.95,1.917e-16,,,
50,91,90,net,_040_,SIGNAL,1,2820.0,1.8057465533293697e-15,1.653604507046802e-15,26.04,1.35e-16,,,
51,95,92,net,_041_,SIGNAL,3,8220.0,9.588794974777892e-15,9.130363803064919e-15,51.18,4.504e-16,,,
52,95,93,net,_041_,SIGNAL,3,8220.0,9.588794974777892e-15,9.130363803064919e-15,51.18,4.504e-16,,,
53,95,94,net,_041_,SIGNAL,3,8220.0,9.588794974777892e-15,9.130363803064919e-15,51.18,4.504e-16,,,
54,98,96,net,_042_,SIGNAL,2,12660.0,7.668552648627553e-15,7.312199111454091e-15,48.86,7.389e-16,,,
55,98,97,net,_042_,SIGNAL,2,12660.0,7.668552648627553e-15,7.312199111454091e-15,48.86,7.389e-16,,,
56,101,99,net,_043_,SIGNAL,2,11600.0,4.583880577359572e-15,4.358552449214509e-15,36.96,5.561e-16,,,
57,101,100,net,_043_,SIGNAL,2,11600.0,4.583880577359572e-15,4.358552449214509e-15,36.96,5.561e-16,,,
58,106,102,net,_044_,SIGNAL,4,39960.0,1.2320555003737105e-14,1.1798983455036955e-14,116.4,2.617e-15,,,
59,106,103,net,_044_,SIGNAL,4,39960.0,1.2320555003737105e-14,1.1798983455036955e-14,116.4,2.617e-15,,,
60,106,104,net,_044_,SIGNAL,4,39960.0,1.2320555003737105e-14,1.1798983455036955e-14,116.4,2.617e-15,,,
61,106,105,net,_044_,SIGNAL,4,39960.0,1.2320555003737105e-14,1.1798983455036955e-14,116.4,2.617e-15,,,
62,108,107,net,_045_,SIGNAL,1,25280.0,3.1913283424038746e-15,2.8282582574751594e-15,76.89,1.428e-15,,,
63,112,109,net,_046_,SIGNAL,3,20440.0,5.96856429975175e-15,5.668257238632211e-15,93.75,1.117e-15,,,
64,112,110,net,_046_,SIGNAL,3,20440.0,5.96856429975175e-15,5.668257238632211e-15,93.75,1.117e-15,,,
65,112,111,net,_046_,SIGNAL,3,20440.0,5.96856429975175e-15,5.668257238632211e-15,93.75,1.117e-15,,,
66,116,113,net,_047_,SIGNAL,3,9640.0,7.239152684148775e-15,6.350246663146958e-15,63.71,6.626e-16,,,
67,116,114,net,_047_,SIGNAL,3,9640.0,7.239152684148775e-15,6.350246663146958e-15,63.71,6.626e-16,,,
68,116,115,net,_047_,SIGNAL,3,9640.0,7.239152684148775e-15,6.350246663146958e-15,63.71,6.626e-16,,,
69,119,117,net,_048_,SIGNAL,2,12640.0,8.288752713705994e-15,7.844541531111526e-15,53.82,6.307e-16,,,
70,119,118,net,_048_,SIGNAL,2,12640.0,8.288752713705994e-15,7.844541531111526e-15,53.82,6.307e-16,,,
71,121,120,net,_049_,SIGNAL,1,12200.0,2.4258758911567145e-15,2.362295904069912e-15,42.29,8.096e-16,,,
