node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.785571300873869e-10,3.695452555074752e-10,1.655020565038967e-10,1.6847959138921453e-10,5.440591865912836e-10,5.380248468966897e-10,3.785571300873869e-10,1.655020565038967e-10,5.440591865912836e-10,0,0
1,3.785166347025637e-10,3.6950714710215493e-10,1.655020287483211e-10,1.6847961914479015e-10,5.440186634508848e-10,5.379867662469451e-10,3.785166347025637e-10,1.655020287483211e-10,5.440186634508848e-10,0,0
2,4.741267933816573e-10,3.941133808194053e-10,7.298062154603713e-11,1.4762988054251025e-10,5.471074149276944e-10,5.417432613619155e-10,4.741267933816573e-10,7.298062154603713e-11,5.471074149276944e-10,0,0
3,4.740862147301073e-10,3.940752446585094e-10,7.298062154603713e-11,1.4762988054251025e-10,5.470668362761444e-10,5.417051252010197e-10,4.740862147301073e-10,7.298062154603713e-11,5.470668362761444e-10,0,0
4,3.5643341056434963e-10,4.47870407427331e-10,1.8854204308915712e-10,9.297240755046232e-11,5.449754536535067e-10,5.408428149777933e-10,4.47870407427331e-10,9.297240755046232e-11,5.408428149777933e-10,0,0
5,3.563768724568206e-10,4.478168114108172e-10,1.885420153335815e-10,9.29723797948867e-11,5.449188877904021e-10,5.407891912057039e-10,4.478168114108172e-10,9.29723797948867e-11,5.407891912057039e-10,0,0
6,2.2854931835958325e-10,1.9689601338246376e-10,1.9113277627269554e-10,2.2134054311617746e-10,4.196820946322788e-10,4.182365564986412e-10,2.2854931835958325e-10,1.9113277627269554e-10,4.196820946322788e-10,0,0
7,2.2851266712198282e-10,1.9686245689154447e-10,2.1737332767113315e-10,2.535207044296328e-10,4.4588599479311597e-10,4.503831613211773e-10,2.2851266712198282e-10,2.1737332767113315e-10,4.4588599479311597e-10,0,0
8,2.2839961866250036e-10,1.9675996942858376e-10,1.953636280527249e-10,2.299301582464608e-10,4.2376324671522525e-10,4.2669012767504455e-10,2.2839961866250036e-10,1.953636280527249e-10,4.2376324671522525e-10,0,0
9,2.283950528703116e-10,1.9675545914754622e-10,2.022637890508605e-10,2.3530555282036403e-10,4.306588419211721e-10,4.3206101196791025e-10,2.283950528703116e-10,2.022637890508605e-10,4.306588419211721e-10,0,0
