node_id,node_name,node_kind,inst_name,cell_name,port_name,io_type,is_sequential_cell,is_buffer_cell,is_inverter_cell,is_clock_pin,is_endpoint,x_um,y_um,inst_x_um,inst_y_um,cell_area_um2,port_cap_max_f,port_cap_min_f
0,ctrl.state.out\[0\]$_DFF_P_/D,iterm,ctrl.state.out\[0\]$_DFF_P_,DFF_X1,D,INPUT,1,0,0,0,1,10.2,27.215,9.31,26.6,nan,1.140290047274724e-15,1.0623420520618839e-15
1,_387_/ZN,iterm,_387_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,11.97,28.6105,11.59,28.0,nan,0.0,0.0
2,ctrl.state.out\[1\]$_DFF_P_/D,iterm,ctrl.state.out\[1\]$_DFF_P_,DFF_X1,D,INPUT,1,0,0,0,1,9.63,30.015,8.74,29.4,nan,1.140290047274724e-15,1.0623420520618839e-15
3,_383_/ZN,iterm,_383_,INV_X1,ZN,OUTPUT,0,0,1,0,0,11.6775,31.5,11.4,30.8,nan,0.0,0.0
4,ctrl.state.out\[2\]$_DFF_P_/D,iterm,ctrl.state.out\[2\]$_DFF_P_,DFF_X1,D,INPUT,1,0,0,0,1,8.68,28.785,7.79,28.0,nan,1.140290047274724e-15,1.0623420520618839e-15
5,_375_/ZN,iterm,_375_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,12.725,28.493,12.35,28.0,nan,0.0,0.0
6,_533_/A2,iterm,_533_,NAND2_X1,A2,INPUT,0,0,0,0,0,23.1125,18.8125,22.99,18.2,nan,1.664198983392822e-15,1.5022779417342034e-15
7,_535_/A3,iterm,_535_,AND3_X1,A3,INPUT,0,0,0,0,0,25.015,17.5875,24.51,16.8,nan,9.648239958774435e-16,8.829540263605791e-16
8,_577_/A2,iterm,_577_,AND4_X1,A2,INPUT,0,0,0,0,0,12.8525,6.3875,12.54,5.6,nan,9.022719891512527e-16,8.839920122978801e-16
9,_582_/A2,iterm,_582_,AND4_X1,A2,INPUT,0,0,0,0,0,17.6025,6.3875,17.29,5.6,nan,9.022719891512527e-16,8.839920122978801e-16
10,_594_/B1,iterm,_594_,AOI21_X1,B1,INPUT,0,0,0,0,0,26.865,16.0125,26.41,15.4,nan,1.6470030498932572e-15,1.4468230123148196e-15
11,_598_/A3,iterm,_598_,NAND3_X1,A3,INPUT,0,0,0,0,0,15.5125,13.2125,15.39,12.6,nan,1.650376993880408e-15,1.4862730424375966e-15
12,_602_/A2,iterm,_602_,AND4_X1,A2,INPUT,0,0,0,0,0,26.3425,23.1875,26.03,22.4,nan,9.022719891512527e-16,8.839920122978801e-16
13,_607_/A2,iterm,_607_,AND4_X1,A2,INPUT,0,0,0,0,0,25.5825,31.5875,25.27,30.8,nan,9.022719891512527e-16,8.839920122978801e-16
14,_628_/A2,iterm,_628_,AND4_X1,A2,INPUT,0,0,0,0,0,8.2925,20.3875,7.98,19.6,nan,9.022719891512527e-16,8.839920122978801e-16
15,_633_/A2,iterm,_633_,AND4_X1,A2,INPUT,0,0,0,0,0,9.4325,20.3875,9.12,19.6,nan,9.022719891512527e-16,8.839920122978801e-16
16,_378_/A3,iterm,_378_,AND3_X1,A3,INPUT,0,0,0,0,0,13.995,30.0125,13.49,29.4,nan,9.648239958774435e-16,8.829540263605791e-16
17,_566_/A2,iterm,_566_,NAND2_X1,A2,INPUT,0,0,0,0,0,5.6325,10.4125,5.51,9.8,nan,1.664198983392822e-15,1.5022779417342034e-15
18,_587_/A2,iterm,_587_,AND3_X1,A2,INPUT,0,0,0,0,0,24.2525,14.7875,23.94,14.0,nan,9.275250059242188e-16,8.811590047266696e-16
19,_612_/A2,iterm,_612_,AND4_X2,A2,INPUT,0,0,0,0,0,27.6725,28.7875,27.36,28.0,nan,1.6050000624674558e-15,1.5746349900995732e-15
20,_617_/A2,iterm,_617_,AND4_X1,A2,INPUT,0,0,0,0,0,16.2725,28.7875,15.96,28.0,nan,9.022719891512527e-16,8.839920122978801e-16
21,_622_/A2,iterm,_622_,AND4_X1,A2,INPUT,0,0,0,0,0,15.7025,21.6125,15.39,21.0,nan,9.022719891512527e-16,8.839920122978801e-16
22,_637_/A2,iterm,_637_,AND4_X1,A2,INPUT,0,0,0,0,0,8.4825,18.8125,8.17,18.2,nan,9.022719891512527e-16,8.839920122978801e-16
23,_642_/A2,iterm,_642_,AND4_X2,A2,INPUT,0,0,0,0,0,8.2925,14.7875,7.98,14.0,nan,1.6050000624674558e-15,1.5746349900995732e-15
24,_647_/A,iterm,_647_,OAI21_X4,A,INPUT,0,0,0,0,0,17.0025,18.8125,16.53,18.2,nan,6.194657722164657e-15,5.622910906284478e-15
25,ctrl.state.out\[0\]$_DFF_P_/QN,iterm,ctrl.state.out\[0\]$_DFF_P_,DFF_X1,QN,OUTPUT,1,0,0,0,0,12.065,27.1225,9.31,26.6,nan,0.0,0.0
26,dpath.a_reg.out\[0\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[0\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,27.11,18.815,26.22,18.2,nan,1.140290047274724e-15,1.0623420520618839e-15
27,_556_/ZN,iterm,_556_,AOI21_X1,ZN,OUTPUT,0,0,0,0,0,27.1825,17.729,26.79,16.8,nan,0.0,0.0
28,dpath.a_reg.out\[10\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[10\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,9.25,6.385,8.36,5.6,nan,1.140290047274724e-15,1.0623420520618839e-15
29,_570_/ZN,iterm,_570_,AOI221_X2,ZN,OUTPUT,0,0,0,0,0,9.213,7.625,7.98,7.0,nan,0.0,0.0
30,dpath.a_reg.out\[11\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[11\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,10.58,3.585,9.69,2.8,nan,1.140290047274724e-15,1.0623420520618839e-15
31,_579_/ZN,iterm,_579_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,11.4,4.989,11.02,4.2,nan,0.0,0.0
32,dpath.a_reg.out\[12\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[12\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,19.51,3.585,18.62,2.8,nan,1.140290047274724e-15,1.0623420520618839e-15
33,_584_/ZN,iterm,_584_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,18.24,3.4105,17.86,2.8,nan,0.0,0.0
34,dpath.a_reg.out\[13\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[13\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,25.97,11.985,25.08,11.2,nan,1.140290047274724e-15,1.0623420520618839e-15
35,_591_/ZN,iterm,_591_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,26.79,13.389,26.41,12.6,nan,0.0,0.0
36,dpath.a_reg.out\[14\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[14\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,29.77,14.785,28.88,14.0,nan,1.140290047274724e-15,1.0623420520618839e-15
37,_596_/ZN,iterm,_596_,AOI221_X2,ZN,OUTPUT,0,0,0,0,0,28.023,14.775,26.79,14.0,nan,0.0,0.0
38,dpath.a_reg.out\[15\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[15\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,16.85,16.015,15.96,15.4,nan,1.140290047274724e-15,1.0623420520618839e-15
39,_600_/Z,iterm,_600_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,15.855,16.11,14.63,15.4,nan,0.0,0.0
40,dpath.a_reg.out\[1\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[1\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,28.44,23.185,27.55,22.4,nan,1.140290047274724e-15,1.0623420520618839e-15
41,_605_/ZN,iterm,_605_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,30.7865,24.711,30.02,23.8,nan,0.0,0.0
42,dpath.a_reg.out\[2\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[2\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,28.63,30.015,27.74,29.4,nan,1.140290047274724e-15,1.0623420520618839e-15
43,_610_/ZN,iterm,_610_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,30.7865,28.4885,30.02,28.0,nan,0.0,0.0
44,dpath.a_reg.out\[3\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[3\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,19.51,28.785,18.62,28.0,nan,1.140290047274724e-15,1.0623420520618839e-15
45,_615_/ZN,iterm,_615_,OAI221_X2,ZN,OUTPUT,0,0,0,0,0,26.0785,28.456,25.27,28.0,nan,0.0,0.0
46,dpath.a_reg.out\[4\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[4\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,17.04,25.985,16.15,25.2,nan,1.140290047274724e-15,1.0623420520618839e-15
47,_620_/ZN,iterm,_620_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,15.5865,27.511,14.82,26.6,nan,0.0,0.0
48,dpath.a_reg.out\[5\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[5\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,14.19,23.185,13.3,22.4,nan,1.140290047274724e-15,1.0623420520618839e-15
49,_625_/ZN,iterm,_625_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,12.9265,22.8885,12.16,22.4,nan,0.0,0.0
50,dpath.a_reg.out\[6\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[6\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,3.17,21.615,2.28,21.0,nan,1.140290047274724e-15,1.0623420520618839e-15
51,_630_/ZN,iterm,_630_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,3.42,23.0105,3.04,22.4,nan,0.0,0.0
52,dpath.a_reg.out\[7\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[7\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,2.22,27.215,1.33,26.6,nan,1.140290047274724e-15,1.0623420520618839e-15
53,_635_/ZN,iterm,_635_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,2.66,24.589,2.28,23.8,nan,0.0,0.0
54,dpath.a_reg.out\[8\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[8\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,5.26,18.815,4.37,18.2,nan,1.140290047274724e-15,1.0623420520618839e-15
55,_640_/ZN,iterm,_640_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,5.1365,17.2885,4.37,16.8,nan,0.0,0.0
56,dpath.a_reg.out\[9\]$_DFFE_PP_/D,iterm,dpath.a_reg.out\[9\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,2.41,14.785,1.52,14.0,nan,1.140290047274724e-15,1.0623420520618839e-15
57,_645_/ZN,iterm,_645_,OAI221_X1,ZN,OUTPUT,0,0,0,0,0,5.5165,14.4885,4.75,14.0,nan,0.0,0.0
58,dpath.b_reg.out\[0\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[0\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,30.15,20.385,29.26,19.6,nan,1.140290047274724e-15,1.0623420520618839e-15
59,_649_/Z,iterm,_649_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,29.915,17.49,28.69,16.8,nan,0.0,0.0
60,dpath.b_reg.out\[10\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[10\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,7.35,3.585,6.46,2.8,nan,1.140290047274724e-15,1.0623420520618839e-15
61,_651_/Z,iterm,_651_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,8.825,4.91,7.6,4.2,nan,0.0,0.0
62,dpath.b_reg.out\[11\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[11\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,15.33,3.585,14.44,2.8,nan,1.140290047274724e-15,1.0623420520618839e-15
63,_653_/Z,iterm,_653_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,14.335,3.49,13.11,2.8,nan,0.0,0.0
64,dpath.b_reg.out\[12\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[12\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,22.74,3.585,21.85,2.8,nan,1.140290047274724e-15,1.0623420520618839e-15
65,_655_/Z,iterm,_655_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,22.885,2.11,21.66,1.4,nan,0.0,0.0
66,dpath.b_reg.out\[13\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[13\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,28.25,4.815,27.36,4.2,nan,1.140290047274724e-15,1.0623420520618839e-15
67,_657_/Z,iterm,_657_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,27.255,4.91,26.03,4.2,nan,0.0,0.0
68,dpath.b_reg.out\[14\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[14\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,29.2,11.985,28.31,11.2,nan,1.140290047274724e-15,1.0623420520618839e-15
69,_659_/Z,iterm,_659_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,28.775,10.51,27.55,9.8,nan,0.0,0.0
70,dpath.b_reg.out\[15\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[15\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,18.75,14.785,17.86,14.0,nan,1.140290047274724e-15,1.0623420520618839e-15
71,_661_/Z,iterm,_661_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,20.415,16.11,19.19,15.4,nan,0.0,0.0
72,dpath.b_reg.out\[1\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[1\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,20.84,20.385,19.95,19.6,nan,1.140290047274724e-15,1.0623420520618839e-15
73,_663_/Z,iterm,_663_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,25.165,21.71,23.94,21.0,nan,0.0,0.0
74,dpath.b_reg.out\[2\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[2\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,26.35,27.215,25.46,26.6,nan,1.140290047274724e-15,1.0623420520618839e-15
75,_665_/Z,iterm,_665_,MUX2_X1,Z,OUTPUT,0,0,0,0,0,29.915,28.69,28.69,28.0,nan,0.0,0.0
76,dpath.b_reg.out\[3\]$_DFFE_PP_/D,iterm,dpath.b_reg.out\[3\]$_DFFE_PP_,DFF_X1,D,INPUT,1,0,0,0,1,19.89,30.015,19.0,29.4,nan,1.140290047274724e-15,1.0623420520618839e-15
