path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd_base_smoke__path0001,dpath.b_reg.out[12]$_DFFE_PP_/Q,resp_msg[15],core_clock,4.196e-10,3.68e-10,-5.158e-11,1
gcd_base_smoke__path0002,dpath.a_reg.out[12]$_DFFE_PP_/Q,resp_msg[14],core_clock,4.161e-10,3.68e-10,-4.81e-11,2
gcd_base_smoke__path0003,dpath.a_reg.out[8]$_DFFE_PP_/Q,resp_msg[9],core_clock,4.157e-10,3.68e-10,-4.768e-11,3
gcd_base_smoke__path0004,dpath.a_reg.out[8]$_DFFE_PP_/Q,resp_msg[11],core_clock,4.151e-10,3.68e-10,-4.706e-11,4
gcd_base_smoke__path0005,dpath.a_reg.out[12]$_DFFE_PP_/Q,resp_msg[13],core_clock,4.142e-10,3.68e-10,-4.615e-11,5
gcd_base_smoke__path0006,dpath.a_reg.out[5]$_DFFE_PP_/Q,resp_msg[7],core_clock,4.141e-10,3.68e-10,-4.613e-11,6
gcd_base_smoke__path0007,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[6],core_clock,4.139e-10,3.68e-10,-4.587e-11,7
gcd_base_smoke__path0008,dpath.a_reg.out[8]$_DFFE_PP_/Q,resp_msg[12],core_clock,4.126e-10,3.68e-10,-4.464e-11,8
gcd_base_smoke__path0009,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[8],core_clock,4.043e-10,3.68e-10,-3.634e-11,9
gcd_base_smoke__path0010,dpath.a_reg.out[8]$_DFFE_PP_/Q,resp_msg[10],core_clock,3.976e-10,3.68e-10,-2.964e-11,10
gcd_base_smoke__path0011,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[5],core_clock,3.975e-10,3.68e-10,-2.952e-11,11
gcd_base_smoke__path0012,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[4],core_clock,3.804e-10,3.68e-10,-1.237e-11,12
gcd_base_smoke__path0013,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[10]$_DFFE_PP_/D,core_clock,5.083e-10,4.997e-10,-8.596e-12,13
gcd_base_smoke__path0014,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[3],core_clock,3.749e-10,3.68e-10,-6.916e-12,14
gcd_base_smoke__path0015,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[9]$_DFFE_PP_/D,core_clock,4.996e-10,4.932e-10,-6.389e-12,15
gcd_base_smoke__path0016,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[13]$_DFFE_PP_/D,core_clock,5.037e-10,4.975e-10,-6.264e-12,16
gcd_base_smoke__path0017,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[3]$_DFFE_PP_/D,core_clock,5.048e-10,4.985e-10,-6.253e-12,17
gcd_base_smoke__path0018,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[13]$_DFFE_PP_/D,core_clock,5.061e-10,5e-10,-6.1e-12,18
gcd_base_smoke__path0019,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[14]$_DFFE_PP_/D,core_clock,5.036e-10,4.981e-10,-5.516e-12,19
gcd_base_smoke__path0020,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[11]$_DFFE_PP_/D,core_clock,4.982e-10,4.931e-10,-5.121e-12,20
gcd_base_smoke__path0021,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[12]$_DFFE_PP_/D,core_clock,5.032e-10,4.982e-10,-5.016e-12,21
gcd_base_smoke__path0022,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[15]$_DFFE_PP_/D,core_clock,4.984e-10,4.935e-10,-4.838e-12,22
gcd_base_smoke__path0023,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[1]$_DFFE_PP_/D,core_clock,5.053e-10,5.01e-10,-4.37e-12,23
gcd_base_smoke__path0024,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[2]$_DFFE_PP_/D,core_clock,5.031e-10,4.991e-10,-3.998e-12,24
gcd_base_smoke__path0025,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[4]$_DFFE_PP_/D,core_clock,5.042e-10,5.014e-10,-2.803e-12,25
gcd_base_smoke__path0026,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[0]$_DFFE_PP_/D,core_clock,5.031e-10,5.01e-10,-2.043e-12,26
gcd_base_smoke__path0027,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[7]$_DFFE_PP_/D,core_clock,5.031e-10,5.014e-10,-1.682e-12,27
gcd_base_smoke__path0028,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[3]$_DFFE_PP_/D,core_clock,5.03e-10,5.013e-10,-1.68e-12,28
gcd_base_smoke__path0029,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[2]$_DFFE_PP_/D,core_clock,5.03e-10,5.014e-10,-1.588e-12,29
gcd_base_smoke__path0030,dpath.b_reg.out[7]$_DFFE_PP_/Q,dpath.a_reg.out[6]$_DFFE_PP_/D,core_clock,5.024e-10,5.014e-10,-1.02e-12,30
gcd_base_smoke__path0031,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[8]$_DFFE_PP_/D,core_clock,5.021e-10,5.014e-10,-7.163e-13,31
gcd_base_smoke__path0032,dpath.b_reg.out[7]$_DFFE_PP_/Q,dpath.a_reg.out[5]$_DFFE_PP_/D,core_clock,5.018e-10,5.014e-10,-3.977e-13,32
gcd_base_smoke__path0033,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[12]$_DFFE_PP_/D,core_clock,5.005e-10,5.003e-10,-2.38e-13,33
gcd_base_smoke__path0034,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[15]$_DFFE_PP_/D,core_clock,5.004e-10,5.004e-10,2.898e-14,34
gcd_base_smoke__path0035,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[11]$_DFFE_PP_/D,core_clock,4.996e-10,4.999e-10,3.222e-13,35
gcd_base_smoke__path0036,dpath.b_reg.out[10]$_DFFE_PP_/Q,dpath.a_reg.out[14]$_DFFE_PP_/D,core_clock,4.992e-10,5.004e-10,1.177e-12,36
gcd_base_smoke__path0037,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[10]$_DFFE_PP_/D,core_clock,4.894e-10,4.93e-10,3.599e-12,37
gcd_base_smoke__path0038,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[0]$_DFFE_PP_/D,core_clock,4.884e-10,4.942e-10,5.806e-12,38
gcd_base_smoke__path0039,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[4]$_DFFE_PP_/D,core_clock,4.888e-10,4.947e-10,5.88e-12,39
gcd_base_smoke__path0040,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[6]$_DFFE_PP_/D,core_clock,4.886e-10,4.946e-10,5.955e-12,40
gcd_base_smoke__path0041,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[5]$_DFFE_PP_/D,core_clock,4.887e-10,4.946e-10,5.959e-12,41
gcd_base_smoke__path0042,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[8]$_DFFE_PP_/D,core_clock,4.885e-10,4.946e-10,6.114e-12,42
gcd_base_smoke__path0043,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[1]$_DFFE_PP_/D,core_clock,4.884e-10,4.946e-10,6.119e-12,43
gcd_base_smoke__path0044,dpath.a_reg.out[10]$_DFFE_PP_/Q,dpath.b_reg.out[7]$_DFFE_PP_/D,core_clock,4.884e-10,4.946e-10,6.178e-12,44
gcd_base_smoke__path0045,dpath.a_reg.out[8]$_DFFE_PP_/Q,dpath.a_reg.out[9]$_DFFE_PP_/D,core_clock,4.837e-10,5.002e-10,1.651e-11,45
gcd_base_smoke__path0046,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[1],core_clock,3.324e-10,3.68e-10,3.562e-11,46
gcd_base_smoke__path0047,dpath.a_reg.out[2]$_DFFE_PP_/Q,resp_msg[2],core_clock,3.31e-10,3.68e-10,3.699e-11,47
gcd_base_smoke__path0048,ctrl.state.out[0]$_DFF_P_/Q,req_rdy,core_clock,3.024e-10,3.68e-10,6.559e-11,48
gcd_base_smoke__path0049,ctrl.state.out[2]$_DFF_P_/Q,resp_val,core_clock,2.759e-10,3.68e-10,9.209e-11,49
gcd_base_smoke__path0050,dpath.a_reg.out[0]$_DFFE_PP_/Q,resp_msg[0],core_clock,2.636e-10,3.68e-10,1.044e-10,50
gcd_base_smoke__path0051,dpath.b_reg.out[13]$_DFFE_PP_/Q,ctrl.state.out[2]$_DFF_P_/D,core_clock,3.741e-10,4.944e-10,1.203e-10,51
gcd_base_smoke__path0052,dpath.b_reg.out[13]$_DFFE_PP_/Q,ctrl.state.out[1]$_DFF_P_/D,core_clock,3.748e-10,4.98e-10,1.232e-10,52
gcd_base_smoke__path0053,ctrl.state.out[2]$_DFF_P_/Q,ctrl.state.out[0]$_DFF_P_/D,core_clock,3.119e-10,4.92e-10,1.801e-10,53
